re_idx,idx,sentence,category,polarity,target,from,to
935,475512:4,Would NEVER go back there.,RESTAURANT#GENERAL,negative,NULL,0,0
938,476473:0,Awsome Pizza especially the Margheritta slice.,FOOD#QUALITY,positive,Pizza,7,12
938,476473:0,Awsome Pizza especially the Margheritta slice.,FOOD#QUALITY,positive,Margheritta slice,28,45
939,476473:1,Always busy but fast moving.,SERVICE#GENERAL,positive,NULL,0,0
940,476473:2,Great atmoshere and worth every bit.,AMBIENCE#GENERAL,positive,atmoshere,6,15
940,476473:2,Great atmoshere and worth every bit.,RESTAURANT#GENERAL,positive,NULL,0,0
941,476473:3,Open late (well as late as I ever got there and I'm a night person),RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
942,483111:0,Winnie and her staff are the best crew you can find serving you.,SERVICE#GENERAL,positive,staff,15,20
942,483111:0,Winnie and her staff are the best crew you can find serving you.,SERVICE#GENERAL,positive,Winnie,0,6
943,483111:1,The food is reliable and the price is moderate.,FOOD#QUALITY,positive,food,4,8
943,483111:1,The food is reliable and the price is moderate.,RESTAURANT#PRICES,neutral,NULL,0,0
944,483111:2,What more can you ask for?,RESTAURANT#GENERAL,positive,NULL,0,0
945,485026:0,"For authentic Thai food, look no further than Toons.",FOOD#QUALITY,positive,Thai food,14,23
947,485026:2,"Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.",FOOD#QUALITY,positive,Pad Thai,8,16
947,485026:2,"Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.",FOOD#QUALITY,positive,appetizer menu,44,58
948,485767:0,Everything about this restaurant was special.,RESTAURANT#GENERAL,positive,restaurant,22,32
949,485767:1,"The service was attentive, yet discreet.",SERVICE#GENERAL,positive,service,4,11
950,485767:2,The flavors robust and subtle.,FOOD#QUALITY,positive,NULL,0,0
951,485767:3,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,FOOD#QUALITY,positive,brioche and lollies,4,23
952,485767:4,I'm saving up for my next visit.,RESTAURANT#GENERAL,positive,NULL,0,0
954,485966:1,The place was quiet and delightful.,AMBIENCE#GENERAL,positive,place,4,9
955,485966:2,Service was good and food is wonderful.,SERVICE#GENERAL,positive,Service,0,7
955,485966:2,Service was good and food is wonderful.,FOOD#QUALITY,positive,food,21,25
956,485966:3,I did not try the caviar but I tried their salmon and crab salad (they are all good)  ,FOOD#QUALITY,positive,salmon,43,49
956,485966:3,I did not try the caviar but I tried their salmon and crab salad (they are all good)  ,FOOD#QUALITY,positive,crab salad,54,64
957,485966:4,It is definitely a good spot for snacks and chat.,RESTAURANT#GENERAL,positive,spot,24,28
958,490565:0,"As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.",RESTAURANT#GENERAL,positive,Lucky Strike,85,97
959,490565:1,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",SERVICE#GENERAL,positive,wait staff,4,14
960,490565:2,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",FOOD#QUALITY,positive,food,4,8
960,490565:2,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",FOOD#QUALITY,positive,mussels in spicy tomato sauce,57,86
960,490565:2,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",FOOD#QUALITY,positive,fries,115,120
961,490565:3,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",AMBIENCE#GENERAL,positive,late night atmosphere,34,55
962,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",DRINKS#QUALITY,positive,martini,32,39
962,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",DRINKS#STYLE_OPTIONS,positive,martini,32,39
962,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",DRINKS#PRICES,positive,martini,32,39
962,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",DRINKS#QUALITY,positive,Vanilla Shanty,106,120
962,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",AMBIENCE#GENERAL,positive,setting,146,153
962,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",AMBIENCE#GENERAL,positive,music,165,170
963,490565:5,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",AMBIENCE#GENERAL,positive,in-house lady DJ,4,20
964,490565:6,You can't go wrong with this place.,RESTAURANT#GENERAL,positive,place,29,34
965,493013:0,Suan is a great place that I often take my friends (classmates) too.,RESTAURANT#GENERAL,positive,Suan,0,4
966,493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",LOCATION#GENERAL,positive,location,4,12
966,493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",RESTAURANT#PRICES,positive,Suan,126,130
967,493013:2,I LOVE their Thai,FOOD#QUALITY,positive,Thai,13,17
968,493013:3,noodles with shrimp and chicken and coconut juice is the MUST!,FOOD#QUALITY,positive,noodles with shrimp and chicken and coconut juice,0,49
970,493013:5,I will go back to Suan soon!,RESTAURANT#GENERAL,positive,Suan,18,22
971,493013:6,In summer-eat outside on a terrace (another great feature of Suan)!!!,AMBIENCE#GENERAL,positive,terrace,27,34
972,493514:0,I cannot imagine a friendlier staff working in a restaurant.,SERVICE#GENERAL,positive,staff,30,35
973,493514:1,I cannot imagine better Indian food in all of the city.,FOOD#QUALITY,positive,Indian food,24,35
974,493514:2,I cannot imagine you not rushing out to eat there.,RESTAURANT#GENERAL,positive,NULL,0,0
976,494850:1,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",FOOD#QUALITY,negative,chef,44,48
976,494850:1,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",SERVICE#GENERAL,negative,staff,53,58
977,494850:2,I wish they would change back to what it was before.,RESTAURANT#GENERAL,negative,NULL,0,0
978,494850:3,The food now is inconsistent.,FOOD#QUALITY,negative,food,4,8
979,496132:0,This is the kind of place you'd like to take all your friends to and still keep a secret.,RESTAURANT#MISCELLANEOUS,positive,place,20,25
980,496132:1,The setting is casual and romantic.,AMBIENCE#GENERAL,positive,setting,4,11
981,496132:2,Prices are very good.,RESTAURANT#PRICES,positive,NULL,0,0
982,496132:3,The food is excellent! ,FOOD#QUALITY,positive,food,4,8
983,496132:4,"if you're daring, try the balsamic vinegar over icecream, it's wonderful!",FOOD#QUALITY,positive,balsamic vinegar over icecream,26,56
984,498657:0,"Do not get the Go Go Hamburgers, no matter what the reviews say.",FOOD#QUALITY,negative,Go Go Hamburgers,15,31
985,498657:1,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,FOOD#QUALITY,negative,NULL,0,0
985,498657:1,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,FOOD#STYLE_OPTIONS,negative,NULL,0,0
985,498657:1,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,FOOD#PRICES,negative,NULL,0,0
986,498657:2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",FOOD#PRICES,negative,dim sum,16,23
986,498657:2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",FOOD#QUALITY,positive,dim sum,16,23
987,498657:3,Steamed fresh so brought hot hot hot to your table.,FOOD#QUALITY,positive,NULL,0,0
988,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",SERVICE#GENERAL,negative,wait,4,8
988,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",AMBIENCE#GENERAL,negative,atmosphere,106,116
988,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",RESTAURANT#MISCELLANEOUS,negative,NULL,0,0
989,498657:5,"A few tips: skip the turnip cake, roast pork buns and egg custards.",FOOD#QUALITY,negative,turnip cake,21,32
989,498657:5,"A few tips: skip the turnip cake, roast pork buns and egg custards.",FOOD#QUALITY,negative,roast pork buns,34,49
989,498657:5,"A few tips: skip the turnip cake, roast pork buns and egg custards.",FOOD#QUALITY,negative,egg custards,54,66
990,498657:6,These are overpriced and you can get better just around the corner:,FOOD#PRICES,negative,NULL,0,0
990,498657:6,These are overpriced and you can get better just around the corner:,FOOD#QUALITY,negative,NULL,0,0
994,503807:1,I was pleasantly suprised.,RESTAURANT#GENERAL,positive,NULL,0,0
995,503807:2,The food was exceptional.,FOOD#QUALITY,positive,food,4,8
997,503807:4,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",FOOD#QUALITY,positive,braised lamb shank in red wine,44,74
998,503807:5,The service was friendly and the atmosphere was casual.,SERVICE#GENERAL,positive,service,4,11
998,503807:5,The service was friendly and the atmosphere was casual.,AMBIENCE#GENERAL,neutral,atmosphere,33,43
999,503807:6,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,FOOD#QUALITY,positive,meal,111,115
999,503807:6,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,AMBIENCE#GENERAL,neutral,restaurant,4,14
1000,505535:0,this little place has a cute interior decor and affordable city prices.,AMBIENCE#GENERAL,positive,interior decor,29,43
1000,505535:0,this little place has a cute interior decor and affordable city prices.,RESTAURANT#PRICES,positive,place,12,17
1001,505535:1,"the pad se ew chicken was delicious, however the pad thai was far too oily.",FOOD#QUALITY,positive,pad se ew chicken,4,21
1001,505535:1,"the pad se ew chicken was delicious, however the pad thai was far too oily.",FOOD#QUALITY,negative,pad thai,49,57
1003,507755:0,"Have eaten at Ginger House several times, and it's always good.",RESTAURANT#GENERAL,positive,Ginger House,14,26
1004,507755:1,The fried dumplings are GREAT!,FOOD#QUALITY,positive,fried dumplings,4,19
1005,507755:2,Finally a reliable Chinese restaurant!,RESTAURANT#GENERAL,positive,Chinese restaurant,19,37
1006,507844:0,This place would be so much better served by being run by a group that actually understands customer service.,SERVICE#GENERAL,negative,customer service,92,108
1007,507844:1,"The only thing you can do here is walk in and eat .. but planning an event, especially a small, intimate one, forget about it.",RESTAURANT#MISCELLANEOUS,negative,NULL,0,0
1008,507844:2,"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!",SERVICE#GENERAL,negative,NULL,0,0
1009,507844:3,"Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.",SERVICE#GENERAL,negative,NULL,0,0
1010,507844:4,"Terrible, terrible management - deserves to be shut-down.",SERVICE#GENERAL,negative,management,19,29
1010,507844:4,"Terrible, terrible management - deserves to be shut-down.",RESTAURANT#GENERAL,negative,NULL,0,0
1011,507937:0,Never fails to please.,RESTAURANT#GENERAL,positive,NULL,0,0
1012,507937:1,"delicious bagels, especially when right out of the oven.",FOOD#QUALITY,positive,bagels,10,16
1013,507937:2,Spreads and toppings are great - though a bit pricey.,FOOD#QUALITY,positive,Spreads,0,7
1013,507937:2,Spreads and toppings are great - though a bit pricey.,FOOD#QUALITY,positive,toppings,12,20
1013,507937:2,Spreads and toppings are great - though a bit pricey.,FOOD#PRICES,negative,Spreads,0,7
1013,507937:2,Spreads and toppings are great - though a bit pricey.,FOOD#PRICES,negative,toppings,12,20
1014,507937:3,Service is fast and friendly.,SERVICE#GENERAL,positive,Service,0,7
1015,507937:4,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",SERVICE#GENERAL,negative,NULL,0,0
1016,507937:5,But that is highly forgivable.,SERVICE#GENERAL,positive,NULL,0,0
1017,509227:0,"Been there, done that, and New York, it's not that big a deal.",RESTAURANT#GENERAL,neutral,NULL,0,0
1018,509227:1,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",FOOD#QUALITY,negative,food,4,8
1018,509227:1,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",AMBIENCE#GENERAL,negative,ambience,36,44
1019,509227:2,"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",RESTAURANT#MISCELLANEOUS,negative,NULL,0,0
1020,509227:3,"Rao is a good restaurant, but it's nothing special.",RESTAURANT#GENERAL,neutral,Rao,0,3
1022,511290:1,"But after last night, Spice Grill is the only place I'm eating indian cuisine.",FOOD#QUALITY,positive,indian cuisine,63,77
1023,511290:2,You must try the shrimp appetizers.,FOOD#QUALITY,positive,shrimp appetizers,17,34
1024,511290:3,Even my Indian friend couldn't believe how good and tasty everything was.,FOOD#QUALITY,positive,NULL,0,0
1025,511290:4,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,AMBIENCE#GENERAL,positive,ambience,31,39
1025,511290:4,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,SERVICE#GENERAL,positive,staff,57,62
1026,512294:0,"Great food, great prices, great service.",FOOD#QUALITY,positive,food,6,10
1026,512294:0,"Great food, great prices, great service.",RESTAURANT#PRICES,positive,NULL,0,0
1026,512294:0,"Great food, great prices, great service.",SERVICE#GENERAL,positive,service,32,39
1027,512294:1,"If you are looking for a good quality, cheap eats - this is the place.",FOOD#QUALITY,positive,eats,45,49
1027,512294:1,"If you are looking for a good quality, cheap eats - this is the place.",FOOD#PRICES,positive,eats,45,49
1028,512925:0,it's a perfect place to have a amanzing indian food.,FOOD#QUALITY,positive,indian food,40,51
1029,512925:1,I really loved the different and inovated touch that's the cheff gives to the food.,FOOD#STYLE_OPTIONS,positive,cheff,59,64
1030,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",AMBIENCE#GENERAL,positive,place,66,71
1030,512925:2,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",SERVICE#GENERAL,positive,service,77,84
1032,513395:1,"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",FOOD#QUALITY,negative,bagels,6,12
1035,513521:0,Great bagels made the old-fashioned way.,FOOD#QUALITY,positive,bagels,6,12
1035,513521:0,Great bagels made the old-fashioned way.,FOOD#STYLE_OPTIONS,positive,bagels,6,12
1037,513521:2,Drawbacks: service is slow and they don't toast!,SERVICE#GENERAL,negative,service,11,18
1038,519425:0,The food was absolutely amazing!!,FOOD#QUALITY,positive,food,4,8
1039,519425:1,The baked clams octopus we shared as appetizers were the best we've ever had!! ,FOOD#QUALITY,positive,baked clams octopus,4,23
1040,519425:2,"The lamb was tender so full of flavor, the dessert was divine!!",FOOD#QUALITY,positive,lamb,4,8
1040,519425:2,"The lamb was tender so full of flavor, the dessert was divine!!",FOOD#QUALITY,positive,dessert,43,50
1041,519425:3,The waiter was attentive.,SERVICE#GENERAL,positive,waiter,4,10
1042,519425:4,The place itself is beautiful the bar scene seems to be happening.,AMBIENCE#GENERAL,positive,place,4,9
1042,519425:4,The place itself is beautiful the bar scene seems to be happening.,AMBIENCE#GENERAL,positive,bar scene,34,43
1043,521916:0,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",FOOD#QUALITY,neutral,Appetizers,34,44
1043,521916:0,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",SERVICE#GENERAL,negative,waiter,54,60
1043,521916:0,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",FOOD#QUALITY,positive,potato stuff kanish,94,113
1044,521916:1,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",FOOD#QUALITY,negative,salmon,38,44
1044,521916:1,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",FOOD#QUALITY,positive,chicken,78,85
1044,521916:1,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",FOOD#STYLE_OPTIONS,negative,servings for main entree,6,30
1045,521916:2,Dessert is a joke...dont bother,FOOD#QUALITY,negative,Dessert,0,7
1046,527109:0,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",SERVICE#GENERAL,positive,service,112,119
1047,527109:1,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",AMBIENCE#GENERAL,positive,feel,28,32
1047,527109:1,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",FOOD#STYLE_OPTIONS,positive,portions,63,71
1047,527109:1,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",FOOD#STYLE_OPTIONS,positive,veal,96,100
1048,527109:2,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",FOOD#QUALITY,positive,anti-pasta,4,14
1048,527109:2,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",FOOD#QUALITY,positive,calamari,45,53
1048,527109:2,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",FOOD#QUALITY,positive,pasta mains,75,86
1048,527109:2,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",FOOD#STYLE_OPTIONS,positive,pasta mains,75,86
1049,527109:3,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,DRINKS#STYLE_OPTIONS,positive,wine list,4,13
1049,527109:3,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,FOOD#PRICES,positive,meal,81,85
1050,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",RESTAURANT#PRICES,neutral,NULL,0,0
1050,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",DRINKS#STYLE_OPTIONS,positive,measures of liquers,69,88
1051,528251:0,Fantastic place.,RESTAURANT#GENERAL,positive,place,10,15
1052,528251:1,Cute and decorative.,AMBIENCE#GENERAL,positive,NULL,0,0
1053,528251:2,A pleasant surprise.,RESTAURANT#GENERAL,positive,NULL,0,0
1054,528251:3,Go there to relax and feel like your somewhere else.,AMBIENCE#GENERAL,positive,NULL,0,0
1055,530517:0,Lucky Strike is a great casual place to just grab a bite to eat.,RESTAURANT#GENERAL,positive,Lucky Strike,0,12
1057,530517:2,"Great food, great decor, great service.",FOOD#QUALITY,positive,food,6,10
1057,530517:2,"Great food, great decor, great service.",AMBIENCE#GENERAL,positive,decor,18,23
1057,530517:2,"Great food, great decor, great service.",SERVICE#GENERAL,positive,service,31,38
1058,530517:3,I recommend it!,RESTAURANT#GENERAL,positive,NULL,0,0
1060,535086:0,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",RESTAURANT#MISCELLANEOUS,positive,spot,20,24
1061,535086:1,(Always ask the bartender for the SEASONAL beer!!!,DRINKS#QUALITY,positive,SEASONAL beer,34,47
1062,535086:2,Guaranteed to be a tasty experience!),DRINKS#QUALITY,positive,NULL,0,0
1063,535086:3,Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.,RESTAURANT#MISCELLANEOUS,positive,spot,10,14
1064,535086:4,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,RESTAURANT#GENERAL,positive,Heartland Brewery,42,59
1065,535086:5,All the people that I bring there go back on their own and bring THEIR friends!,RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
1066,535086:6,Go there once and oh yes...you will go back...you will...,RESTAURANT#GENERAL,positive,NULL,0,0
1067,535171:0,What a great place!,RESTAURANT#GENERAL,positive,place,13,18
1068,535171:1,Not the typical NYC gimmick theme restaurant.,AMBIENCE#GENERAL,positive,restaurant,34,44
1069,535171:2,"A cool bar with great food, and tons of excellent beer.",AMBIENCE#GENERAL,positive,bar,7,10
1069,535171:2,"A cool bar with great food, and tons of excellent beer.",FOOD#QUALITY,positive,food,22,26
1069,535171:2,"A cool bar with great food, and tons of excellent beer.",DRINKS#QUALITY,positive,beer,50,54
1069,535171:2,"A cool bar with great food, and tons of excellent beer.",DRINKS#STYLE_OPTIONS,positive,beer,50,54
1070,535171:3,And even with it's Pub atmosphere they were great to my kids too!,SERVICE#GENERAL,positive,NULL,0,0
1071,535171:4,Loved it!,RESTAURANT#GENERAL,positive,NULL,0,0
1073,535248:1,The shrimp scampi was excellent and the antipasti were plentiful.,FOOD#QUALITY,positive,shrimp scampi,4,17
1073,535248:1,The shrimp scampi was excellent and the antipasti were plentiful.,FOOD#STYLE_OPTIONS,positive,antipasti,40,49
1074,535248:2,It is expensive but well worth the money.,RESTAURANT#PRICES,negative,NULL,0,0
1074,535248:2,It is expensive but well worth the money.,RESTAURANT#GENERAL,positive,NULL,0,0
1075,535248:3,"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",RESTAURANT#GENERAL,positive,Corona,103,109
1076,536919:0,The only thing more wonderful than the food (which is exceptional) is the service.,FOOD#QUALITY,positive,food,39,43
1076,536919:0,The only thing more wonderful than the food (which is exceptional) is the service.,SERVICE#GENERAL,positive,service,74,81
1077,536919:1,The only thing the waiters don't do for you is wipe your chin when you leave.,SERVICE#GENERAL,positive,waiters,19,26
1078,536919:2,Wonderful at holiday time.,RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
1079,541532:0,Cozy romantic atomosphere with only around 15 tables at most.,AMBIENCE#GENERAL,positive,atomosphere,14,25
1080,541532:1,Service was very prompt but slightly rushed.,SERVICE#GENERAL,positive,Service,0,7
1080,541532:1,Service was very prompt but slightly rushed.,SERVICE#GENERAL,negative,Service,0,7
1081,541532:2,"Food was very good, but not what I would consider out of this world.",FOOD#QUALITY,neutral,Food,0,4
1082,541532:3,Go here for a romantic dinner but not for an all out wow dining experience.,AMBIENCE#GENERAL,positive,NULL,0,0
1082,541532:3,Go here for a romantic dinner but not for an all out wow dining experience.,RESTAURANT#MISCELLANEOUS,negative,NULL,0,0
1083,553097:0,My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
1084,553097:1,Too bad the food wasn't of the same heritage.,FOOD#QUALITY,negative,food,12,16
1085,553097:2,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",FOOD#QUALITY,negative,porcini mushroom pasta special,4,34
1085,553097:2,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",FOOD#QUALITY,negative,seafood tagliatelle,61,80
1086,553097:3,A real dissapointment.,FOOD#QUALITY,negative,NULL,0,0
1087,553097:4,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,FOOD#QUALITY,negative,tiramisu,41,49
1088,553097:5,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,FOOD#QUALITY,negative,NULL,0,0
1089,553097:6,Priced at upper intermediate range.,RESTAURANT#PRICES,negative,NULL,0,0
1090,555734:0,I really liked this place.,RESTAURANT#GENERAL,positive,place,20,25
1091,555734:1,"Everything I had was good, and I'm a eater.",FOOD#QUALITY,positive,NULL,0,0
1092,555734:2,It was pretty inexpensive too.,RESTAURANT#PRICES,positive,NULL,0,0
1093,558423:0,This place has the best Chinese style BBQ ribs in the city.,FOOD#QUALITY,positive,BBQ ribs,38,46
1093,558423:0,This place has the best Chinese style BBQ ribs in the city.,FOOD#STYLE_OPTIONS,positive,BBQ ribs,38,46
1094,558423:1,I also recommend the rice dishes or the different varieties of congee (rice porridge).,FOOD#QUALITY,positive,rice dishes,21,32
1094,558423:1,I also recommend the rice dishes or the different varieties of congee (rice porridge).,FOOD#QUALITY,positive,congee (rice porridge),63,85
1095,558423:2,It's great to go for a quick lunch either alone or with a friend.,RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
1096,558423:3,It's definately not a place to go if you want to impress someone.,RESTAURANT#MISCELLANEOUS,negative,place,22,27
1097,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",FOOD#QUALITY,positive,food,27,31
1097,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",AMBIENCE#GENERAL,neutral,decor,68,73
1097,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",FOOD#PRICES,positive,food,27,31
1098,558423:5,Quick and friendly service.,SERVICE#GENERAL,positive,service,19,26
1099,558423:6,This is one of the best comfort food places in the city.,RESTAURANT#GENERAL,positive,NULL,0,0
1100,558423:7,It's somewhere you can eat and be happy.,RESTAURANT#GENERAL,positive,NULL,0,0
1102,561054:1,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",AMBIENCE#GENERAL,positive,main dining room,29,45
1102,561054:1,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",AMBIENCE#GENERAL,positive,ceiling,90,97
1103,561054:2,"The food is wonderful, tasty and filling, and the service is professional and friendly.",FOOD#QUALITY,positive,food,4,8
1103,561054:2,"The food is wonderful, tasty and filling, and the service is professional and friendly.",FOOD#STYLE_OPTIONS,positive,food,4,8
1103,561054:2,"The food is wonderful, tasty and filling, and the service is professional and friendly.",SERVICE#GENERAL,positive,service,50,57
1104,561054:3,"I can't wait for summer, when they serve outside on their gigantic patio.",AMBIENCE#GENERAL,positive,patio,67,72
1106,565344:0,I recently tried Suan and I thought that it was great.,RESTAURANT#GENERAL,positive,Suan,17,21
1107,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,FOOD#STYLE_OPTIONS,positive,food,80,84
1107,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,RESTAURANT#GENERAL,positive,place,12,17
1107,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,FOOD#PRICES,positive,food,80,84
1108,565344:2,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,SERVICE#GENERAL,positive,service,4,11
1108,565344:2,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,FOOD#QUALITY,positive,food,42,46
1108,565344:2,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,FOOD#QUALITY,positive,hot sauce,84,93
1109,565344:3,I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.,RESTAURANT#GENERAL,positive,NULL,0,0
1110,571962:0,They all know you.,SERVICE#GENERAL,positive,NULL,0,0
1111,571962:1,Good food.,FOOD#QUALITY,positive,food,5,9
1112,571962:2,Good drink.,DRINKS#QUALITY,positive,drink,5,10
1113,571962:3,How do you rate home?,RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
1114,578016:0,I have never had cheescake like this.,FOOD#QUALITY,positive,cheescake,17,26
1115,578016:1,I thought I had died and gone to heaven.,FOOD#QUALITY,positive,NULL,0,0
1116,584025:0,"Great spot, whether looking for a couple of drinks or quiet dinner.",RESTAURANT#GENERAL,positive,spot,6,10
1116,584025:0,"Great spot, whether looking for a couple of drinks or quiet dinner.",RESTAURANT#MISCELLANEOUS,positive,spot,6,10
1117,584025:1,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,AMBIENCE#GENERAL,positive,NULL,0,0
1117,584025:1,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,AMBIENCE#GENERAL,positive,outdoor seating,45,60
